Temps(s),U(V),Itot(A),IL(A),IR(A)
-5.000000e-02,-6,4.6,4.4,-0.2
-4.999000e-02,-6,4.6,4.6,-0.2
-4.998000e-02,-6,4.6,4.6,-0.2
-4.997000e-02,-6,4.4,4.6,-0.2
-4.996000e-02,-6,4.4,4.8,-0.2
-4.995000e-02,-12,4.4,4.4,-0.2
-4.994000e-02,-6,4.6,4.4,-0.2
-4.993000e-02,-12,4.6,4.6,-0.2
-4.992000e-02,-6,4.6,4.4,-0.2
-4.991000e-02,-12,4.4,4.4,-0.2
-4.990000e-02,-12,4.4,4.4,-0.2
-4.989000e-02,-12,4.4,4.6,-0.2
-4.988000e-02,-18,4.4,4.4,-0.2
-4.987000e-02,-18,4.6,4.6,-0.2
-4.986000e-02,-12,4.4,4.4,-0.2
-4.985000e-02,-12,4.4,4.6,-0.2
-4.984000e-02,-18,4,4.4,-0.6
-4.983000e-02,-18,4,4.6,-0.4
-4.982000e-02,-18,4.2,4.6,-0.2
-4.981000e-02,-24,4,4.6,-0.4
-4.980000e-02,-24,4.4,4.4,-0.4
-4.979000e-02,-18,4.2,4.4,-0.2
-4.978000e-02,-24,4.2,4.4,-0.4
-4.977000e-02,-24,4.2,4.4,-0.4
-4.976000e-02,-30,4,4.4,-0.6
-4.975000e-02,-30,4.2,4.4,-0.4
-4.974000e-02,-24,4.2,4.4,-0.4
-4.973000e-02,-36,4,4.4,-0.4
-4.972000e-02,-36,4,4.4,-0.4
-4.971000e-02,-30,4,4.4,-0.4
-4.970000e-02,-30,4.2,4.4,-0.2
-4.969000e-02,-30,4,4.4,-0.4
-4.968000e-02,-42,4,4.4,-0.4
-4.967000e-02,-36,3.8,4.4,-0.4
-4.966000e-02,-36,4,4.6,-0.4
-4.965000e-02,-36,3.8,4.4,-0.6
-4.964000e-02,-36,3.8,4.2,-0.6
-4.963000e-02,-36,3.8,4.2,-0.6
-4.962000e-02,-42,3.8,4.4,-0.4
-4.961000e-02,-48,4,4.4,-0.6
-4.960000e-02,-36,3.8,4.4,-0.6
-4.959000e-02,-42,3.8,4.2,-0.4
-4.958000e-02,-48,3.6,4.4,-0.4
-4.957000e-02,-48,3.8,4.4,-0.6
-4.956000e-02,-48,3.6,4.2,-0.6
-4.955000e-02,-48,3.8,4.4,-0.6
-4.954000e-02,-48,3.6,4.4,-0.6
-4.953000e-02,-48,3.8,4.2,-0.8
-4.952000e-02,-54,3.4,4.2,-0.6
-4.951000e-02,-48,3.4,4.2,-0.4
