TIME,Uedf,IL,IR,Us
-5.000000e-02,-6,6.4,0,0
-4.999000e-02,-6,6.4,-0.2,0
-4.998000e-02,-6,6.6,-0.2,0
-4.997000e-02,-12,6.4,-0.2,0
-4.996000e-02,-6,6.4,0,0
-4.995000e-02,-18,6.6,-0.2,-6
-4.994000e-02,-12,6.4,-0.2,-6
-4.993000e-02,-18,6.2,-0.2,0
-4.992000e-02,-18,6.2,-0.4,-12
-4.991000e-02,-24,6.4,-0.2,-12
-4.990000e-02,-12,6.2,-0.2,-6
-4.989000e-02,-12,6,-0.4,-12
-4.988000e-02,-18,6.2,-0.2,-6
-4.987000e-02,-24,6.2,-0.4,-6
-4.986000e-02,-24,6.2,-0.4,-12
-4.985000e-02,-30,6.2,-0.4,-12
-4.984000e-02,-24,6.4,-0.4,-12
-4.983000e-02,-24,6.2,-0.2,-6
-4.982000e-02,-30,6.4,-0.4,-12
-4.981000e-02,-30,6,-0.4,-12
-4.980000e-02,-30,6.2,-0.4,-18
-4.979000e-02,-36,6.4,-0.4,-24
-4.978000e-02,-24,6,-0.4,-18
-4.977000e-02,-36,6.2,-0.4,-18
-4.976000e-02,-30,6.2,-0.4,-18
-4.975000e-02,-36,6.2,-0.4,-30
-4.974000e-02,-36,6.2,-0.6,-24
-4.973000e-02,-42,6.2,-0.6,-24
-4.972000e-02,-36,6.2,-0.6,-24
-4.971000e-02,-42,6.2,-0.4,-30
-4.970000e-02,-42,6.2,-0.4,-30
-4.969000e-02,-42,6.2,-0.4,-30
-4.968000e-02,-36,6,-0.6,-30
-4.967000e-02,-42,6,-0.4,-30
-4.966000e-02,-42,6.2,-0.6,-30
-4.965000e-02,-48,6.2,-1,-36
-4.964000e-02,-48,6,-0.6,-30
-4.963000e-02,-48,6,-0.6,-42
-4.962000e-02,-54,6.2,-0.4,-36
-4.961000e-02,-48,6,-1,-42
-4.960000e-02,-54,6,-0.8,-42
-4.959000e-02,-54,6.2,-0.6,-42
-4.958000e-02,-54,6.2,-0.6,-42
-4.957000e-02,-54,5.8,-0.4,-42
-4.956000e-02,-54,6.2,-0.6,-48
-4.955000e-02,-54,6,-0.6,-42
-4.954000e-02,-60,6,-0.6,-54
-4.953000e-02,-60,5.8,-0.8,-54
-4.952000e-02,-66,6,-0.8,-48
-4.951000e-02,-66,6.2,-0.8,-42
-4.950000e-02,-66,6,-0.8,-54
-4.949000e-02,-60,5.8,-0.8,-60
-4.948000e-02,-60,5.8,-0.8,-54
-4.947000e-02,-66,6,-0.8,-60
-4.946000e-02,-60,6,-1,-54
-4.945000e-02,-66,6,-1,-54
-4.944000e-02,-72,5.8,-0.8,-54
-4.943000e-02,-66,5.8,-1,-54
-4.942000e-02,-66,5.8,-0.8,-60
-4.941000e-02,-66,6,-0.8,-60
-4.940000e-02,-72,5.8,-0.8,-60
-4.939000e-02,-78,5.8,-1,-60
-4.938000e-02,-72,5.6,-1,-60
-4.937000e-02,-84,6,-0.8,-66
-4.936000e-02,-78,5.6,-1.2,-66
-4.935000e-02,-78,6,-1,-66
-4.934000e-02,-72,6,-1,-72
-4.933000e-02,-84,5.8,-1,-72
-4.932000e-02,-72,5.8,-0.8,-66
-4.931000e-02,-78,6,-1.2,-72
-4.930000e-02,-78,5.8,-1,-66
-4.929000e-02,-78,5.8,-1.2,-72
-4.928000e-02,-84,5.8,-1,-72
-4.927000e-02,-78,5.8,-1.2,-78
-4.926000e-02,-84,6,-1,-72
-4.925000e-02,-84,5.8,-1.2,-78
-4.924000e-02,-90,5.6,-1.2,-72
-4.923000e-02,-90,5.6,-1.2,-78
-4.922000e-02,-84,5.8,-1.2,-78
-4.921000e-02,-84,5.8,-1.2,-84
-4.920000e-02,-90,5.6,-1.2,-78
-4.919000e-02,-90,5.6,-1.2,-84
-4.918000e-02,-90,5.6,-1,-78
-4.917000e-02,-96,5.6,-1.2,-84
-4.916000e-02,-96,5.6,-1.2,-84
-4.915000e-02,-96,5.6,-1,-90
-4.914000e-02,-90,5.6,-1.2,-84
-4.913000e-02,-96,5.8,-1.2,-84
-4.912000e-02,-96,5.6,-1.2,-90
-4.911000e-02,-96,5.6,-1.2,-90
-4.910000e-02,-96,5.6,-1.2,-90
-4.909000e-02,-96,5.6,-1.2,-96
-4.908000e-02,-102,5.4,-1.2,-96
-4.907000e-02,-96,5.8,-1.2,-90
-4.906000e-02,-96,5.6,-1.2,-90
-4.905000e-02,-96,5.4,-1.2,-96
-4.904000e-02,-108,5.4,-1.2,-96
-4.903000e-02,-102,5.4,-1.4,-96
-4.902000e-02,-102,5.4,-1.2,-96
-4.901000e-02,-108,5.4,-1.2,-96
-4.900000e-02,-108,5.4,-1.2,-102
-4.899000e-02,-108,5.4,-1.4,-96
-4.898000e-02,-102,5.4,-1.4,-96
-4.897000e-02,-108,5.4,-1.4,-102
-4.896000e-02,-108,5.2,-1.4,-96
-4.895000e-02,-108,5.2,-1.4,-96
-4.894000e-02,-108,5.2,-1.4,-102
-4.893000e-02,-114,5.2,-1.4,-102
-4.892000e-02,-108,5.4,-1.4,-102
-4.891000e-02,-120,5.4,-1.4,-102
-4.890000e-02,-108,5.2,-1.4,-108
-4.889000e-02,-114,5.4,-1.2,-102
-4.888000e-02,-114,5.2,-1.4,-108
-4.887000e-02,-114,5,-1.2,-108
-4.886000e-02,-120,5.2,-1.6,-108
-4.885000e-02,-108,5.2,-1.4,-114
-4.884000e-02,-114,5.2,-1.2,-114
-4.883000e-02,-120,5,-1.4,-114
-4.882000e-02,-120,5.4,-1.6,-114
-4.881000e-02,-120,5,-1.6,-114
-4.880000e-02,-120,5,-1.8,-114
-4.879000e-02,-126,5,-1.4,-114
-4.878000e-02,-126,5,-1.4,-120
-4.877000e-02,-126,5,-1.4,-120
-4.876000e-02,-126,5.2,-1.4,-108
-4.875000e-02,-126,4.8,-1.6,-114
-4.874000e-02,-126,5,-1.4,-120
-4.873000e-02,-126,5,-1.6,-114
-4.872000e-02,-126,5,-1.6,-114
-4.871000e-02,-126,5,-1.6,-120
-4.870000e-02,-138,5,-1.6,-126
-4.869000e-02,-126,5,-1.6,-126
-4.868000e-02,-126,5,-1.6,-126
-4.867000e-02,-132,5,-1.6,-126
-4.866000e-02,-126,4.8,-1.4,-120
-4.865000e-02,-138,5,-1.8,-126
-4.864000e-02,-138,5,-1.6,-126
-4.863000e-02,-132,4.8,-1.8,-126
-4.862000e-02,-132,4.8,-1.8,-132
-4.861000e-02,-132,4.8,-1.6,-132
-4.860000e-02,-132,4.8,-1.8,-144
-4.859000e-02,-138,4.8,-1.8,-132
-4.858000e-02,-138,5,-1.6,-138
-4.857000e-02,-138,4.8,-1.8,-132
-4.856000e-02,-138,4.8,-1.8,-138
-4.855000e-02,-144,4.6,-1.8,-138
-4.854000e-02,-138,5,-1.6,-138
-4.853000e-02,-144,4.8,-2,-138
-4.852000e-02,-150,4.6,-1.6,-138
-4.851000e-02,-144,4.8,-1.8,-138
-4.850000e-02,-150,4.8,-1.6,-138
-4.849000e-02,-144,4.6,-1.8,-144
-4.848000e-02,-144,4.6,-1.8,-144
-4.847000e-02,-144,4.8,-1.8,-144
-4.846000e-02,-144,4.8,-1.8,-138
