Temps(s),U(V),Itot(A),IC(A),IRL(A)
-5.000000e-02,0,-1.2,-8,6.6
-4.999000e-02,0,-1.2,-8,6.6
-4.998000e-02,0,-1.4,-8,6.4
-4.997000e-02,-6,-1.4,-8,6.4
-4.996000e-02,-6,-1.2,-8,6.6
-4.995000e-02,-6,-1.4,-7.8,6.6
-4.994000e-02,-6,-1.2,-8,6.4
-4.993000e-02,-12,-1.4,-7.8,6.4
-4.992000e-02,-6,-1.4,-8,6.6
-4.991000e-02,-12,-1.4,-8,6.4
-4.990000e-02,-12,-1.4,-7.8,6.2
-4.989000e-02,-6,-1.2,-7.6,6.2
-4.988000e-02,-12,-1.4,-7.6,6.2
-4.987000e-02,-12,-1.2,-7.8,6.2
-4.986000e-02,-18,-1.4,-7.8,6
-4.985000e-02,-18,-1.4,-7.8,6.2
-4.984000e-02,-18,-1.2,-7.6,6
-4.983000e-02,-18,-1.2,-7.8,6.2
-4.982000e-02,-18,-1.2,-7.4,6.2
-4.981000e-02,-24,-1.4,-7.4,6
-4.980000e-02,-18,-1.4,-7.6,6
-4.979000e-02,-24,-1.2,-7.4,6.2
-4.978000e-02,-24,-1.4,-7.4,6.2
-4.977000e-02,-24,-1.2,-7.4,6
-4.976000e-02,-18,-1.2,-7.4,6.2
-4.975000e-02,-30,-1.2,-7.2,6
-4.974000e-02,-24,-1.2,-7.2,6.2
-4.973000e-02,-30,-1.4,-7.2,6.2
-4.972000e-02,-36,-1,-7.4,6
-4.971000e-02,-30,-1.2,-7.2,6
-4.970000e-02,-36,-1.4,-7.2,6
-4.969000e-02,-36,-1.2,-7,5.8
-4.968000e-02,-36,-1,-7.2,6
-4.967000e-02,-36,-1.2,-7.2,5.8
-4.966000e-02,-36,-1.4,-7.2,5.8
-4.965000e-02,-42,-1.2,-6.8,5.8
-4.964000e-02,-36,-1,-7,5.6
-4.963000e-02,-42,-1,-7,6
-4.962000e-02,-36,-1.2,-7,5.6
-4.961000e-02,-42,-1.2,-7,5.8
-4.960000e-02,-42,-1.2,-7.2,5.6
-4.959000e-02,-48,-1.2,-6.8,5.8
-4.958000e-02,-48,-0.8,-6.8,5.8
-4.957000e-02,-54,-1,-6.8,5.8
-4.956000e-02,-48,-1,-6.8,5.6
-4.955000e-02,-48,-1,-7,5.6
-4.954000e-02,-48,-1.2,-6.6,5.4
-4.953000e-02,-48,-1.2,-6.6,5.6
-4.952000e-02,-54,-1.2,-6.8,5.4
-4.951000e-02,-54,-0.8,-6.8,5.6
-4.950000e-02,-54,-1.4,-6.8,5.4
-4.949000e-02,-54,-1,-6.6,5.6
-4.948000e-02,-54,-1.2,-6.8,5.4
-4.947000e-02,-54,-1.2,-6.8,5.6
-4.946000e-02,-54,-1.2,-6.6,5.4
-4.945000e-02,-60,-1,-6.8,5.4
-4.944000e-02,-60,-1.4,-6.6,5.6
-4.943000e-02,-60,-1.2,-6.8,5.2
-4.942000e-02,-60,-1.4,-6.6,5.4
-4.941000e-02,-66,-1.2,-6.8,5
-4.940000e-02,-66,-1.4,-6.8,5.2
-4.939000e-02,-60,-1.4,-6.8,5.2
-4.938000e-02,-66,-1.6,-6.8,5.4
-4.937000e-02,-72,-1.4,-6.6,5.2
-4.936000e-02,-72,-1.4,-6.8,5.4
-4.935000e-02,-72,-1.6,-6.6,5.2
-4.934000e-02,-66,-1.4,-6.6,5
-4.933000e-02,-72,-1.4,-6.8,5.4
-4.932000e-02,-66,-1.6,-6.6,5.2
-4.931000e-02,-72,-1,-6.6,5
-4.930000e-02,-78,-1.4,-6.4,5
-4.929000e-02,-72,-1.4,-6.4,5
-4.928000e-02,-78,-1.6,-6.4,5.2
-4.927000e-02,-78,-1.2,-6.4,5
-4.926000e-02,-78,-1.4,-6.4,5
-4.925000e-02,-78,-1.4,-6.4,4.8
-4.924000e-02,-78,-1.2,-6.6,5
-4.923000e-02,-84,-1.4,-6.4,4.6
-4.922000e-02,-84,-1.2,-6.2,4.8
-4.921000e-02,-84,-1.4,-6.4,4.8
-4.920000e-02,-84,-1.4,-6.4,4.6
-4.919000e-02,-84,-1.2,-6.2,4.6
-4.918000e-02,-78,-1.2,-6.2,4.8
-4.917000e-02,-90,-1.2,-6.2,4.8
-4.916000e-02,-90,-1.4,-5.8,4.8
-4.915000e-02,-84,-1.2,-6,4.6
-4.914000e-02,-90,-1.2,-6,4.8
-4.913000e-02,-84,-1.2,-6.2,4.6
-4.912000e-02,-84,-1.2,-6,4.8
-4.911000e-02,-90,-1.2,-5.8,4.6
-4.910000e-02,-96,-1.2,-5.8,4.8
-4.909000e-02,-90,-1,-6,4.2
-4.908000e-02,-90,-1,-6,4.6
-4.907000e-02,-96,-1,-6,4.4
-4.906000e-02,-96,-1.2,-5.6,4.4
-4.905000e-02,-96,-1,-5.6,4.6
-4.904000e-02,-102,-1.2,-5.8,4.4
-4.903000e-02,-96,-1.2,-5.6,4.2
-4.902000e-02,-102,-1,-5.8,4.2
-4.901000e-02,-96,-1.2,-5.8,4.4
-4.900000e-02,-102,-1,-5.6,4.6
-4.899000e-02,-108,-1,-5.8,4.4
-4.898000e-02,-96,-1,-5.8,4
-4.897000e-02,-102,-1.2,-5.6,4.2
-4.896000e-02,-102,-1.2,-5.6,4.2
-4.895000e-02,-96,-1.2,-5.4,4.2
-4.894000e-02,-102,-1.4,-5.6,4.2
-4.893000e-02,-102,-1.4,-6,4.2
-4.892000e-02,-102,-1.4,-5.6,4
-4.891000e-02,-108,-1.6,-5.8,4
-4.890000e-02,-114,-1.6,-5.8,4.2
-4.889000e-02,-108,-1.6,-5.8,4
-4.888000e-02,-114,-1.8,-5.6,4
-4.887000e-02,-108,-1.6,-5.8,4
-4.886000e-02,-114,-1.6,-6,4
-4.885000e-02,-114,-1.6,-5.4,4
-4.884000e-02,-114,-1.6,-5.6,4
-4.883000e-02,-114,-1.6,-5.6,3.8
-4.882000e-02,-120,-1.4,-5.6,3.8
-4.881000e-02,-114,-1.6,-5.8,3.8
-4.880000e-02,-126,-1.4,-5.8,3.8
-4.879000e-02,-108,-1.6,-5.6,4
-4.878000e-02,-126,-1.8,-5.8,3.8
-4.877000e-02,-120,-1.6,-5.6,3.8
-4.876000e-02,-120,-1.6,-5.6,3.8
-4.875000e-02,-120,-1.4,-5.4,3.8
-4.874000e-02,-126,-1.6,-5.6,3.8
-4.873000e-02,-126,-1.8,-5.6,3.8
-4.872000e-02,-120,-1.6,-5.6,3.6
-4.871000e-02,-126,-1.6,-5.4,3.6
-4.870000e-02,-126,-1.8,-5.6,3.6
-4.869000e-02,-126,-1.6,-5.6,3.6
-4.868000e-02,-132,-1.8,-5.6,3.6
-4.867000e-02,-120,-1.8,-5.6,3.6
-4.866000e-02,-132,-1.8,-5.6,3.4
-4.865000e-02,-132,-1.8,-5.4,3.4
-4.864000e-02,-132,-1.8,-5.6,3.4
-4.863000e-02,-132,-1.8,-5.4,3.4
-4.862000e-02,-138,-1.8,-5.4,3.4
-4.861000e-02,-132,-1.6,-5.2,3.4
-4.860000e-02,-132,-2,-5.4,3.4
-4.859000e-02,-132,-1.8,-5.4,3.4
-4.858000e-02,-138,-2,-5.4,3.2
-4.857000e-02,-132,-1.8,-5.2,3.4
-4.856000e-02,-138,-1.6,-5.2,3.4
-4.855000e-02,-132,-1.6,-5.2,3.2
-4.854000e-02,-144,-2,-5.6,3.2
-4.853000e-02,-138,-2,-5,3.2
-4.852000e-02,-150,-2,-5.2,3.2
-4.851000e-02,-138,-1.8,-5.2,3.4
-4.850000e-02,-144,-2,-5.2,3.2
-4.849000e-02,-150,-1.8,-5.2,2.8
-4.848000e-02,-144,-2,-5.4,3
-4.847000e-02,-144,-1.8,-5.2,3
-4.846000e-02,-144,-1.8,-5,3
-4.845000e-02,-156,-1.8,-5.2,3
-4.844000e-02,-150,-1.8,-5.4,2.8
-4.843000e-02,-144,-2,-5,3
