TIME,U,I
-5.000000e-02,0,-0.08
-4.999000e-02,0,-0.08
-4.998000e-02,-6,-0.08
-4.997000e-02,-6,-0.16
-4.996000e-02,-6,-0.08
-4.995000e-02,-6,-0.08
-4.994000e-02,-6,-0.08
-4.993000e-02,-6,-0.16
-4.992000e-02,-6,-0.08
-4.991000e-02,-12,-0.08
-4.990000e-02,-6,-0.08
-4.989000e-02,-12,-0.16
-4.988000e-02,-18,-0.08
-4.987000e-02,-18,-0.16
-4.986000e-02,-12,-0.08
-4.985000e-02,-18,-0.16
-4.984000e-02,-12,-0.08
-4.983000e-02,-24,-0.16
-4.982000e-02,-24,-0.08
-4.981000e-02,-24,-0.08
-4.980000e-02,-24,-0.16
-4.979000e-02,-18,-0.08
-4.978000e-02,-30,-0.16
-4.977000e-02,-24,-0.16
-4.976000e-02,-24,-0.08
-4.975000e-02,-30,-0.08
-4.974000e-02,-24,-0.08
-4.973000e-02,-24,-0.08
-4.972000e-02,-36,-0.08
-4.971000e-02,-30,-0.08
-4.970000e-02,-30,-0.08
-4.969000e-02,-30,-0.16
-4.968000e-02,-36,-0.08
-4.967000e-02,-36,-0.08
-4.966000e-02,-42,-0.08
-4.965000e-02,-42,-0.08
-4.964000e-02,-36,-0.16
-4.963000e-02,-36,-0.08
-4.962000e-02,-42,-0.08
-4.961000e-02,-42,-0.08
-4.960000e-02,-48,-0.08
-4.959000e-02,-42,-0.08
-4.958000e-02,-42,-0.08
-4.957000e-02,-48,-0.16
-4.956000e-02,-48,-0.16
-4.955000e-02,-48,-0.16
-4.954000e-02,-48,-0.16
-4.953000e-02,-54,-0.16
-4.952000e-02,-48,-0.08
-4.951000e-02,-60,-0.08
-4.950000e-02,-54,-0.08
-4.949000e-02,-60,-0.08
-4.948000e-02,-54,-0.08
-4.947000e-02,-60,-0.08
-4.946000e-02,-60,-0.08
-4.945000e-02,-54,-0.08
-4.944000e-02,-60,-0.08
-4.943000e-02,-54,-0.08
-4.942000e-02,-60,-0.08
-4.941000e-02,-66,-0.16
-4.940000e-02,-60,-0.08
-4.939000e-02,-66,-0.16
-4.938000e-02,-60,-0.08
-4.937000e-02,-66,-0.08
-4.936000e-02,-66,-0.16
-4.935000e-02,-66,-0.08
-4.934000e-02,-66,-0.08
-4.933000e-02,-66,-0.08
-4.932000e-02,-72,-0.08
-4.931000e-02,-72,-0.16
-4.930000e-02,-72,-0.08
-4.929000e-02,-72,-0.08
-4.928000e-02,-78,-0.08
-4.927000e-02,-78,-0.16
-4.926000e-02,-78,-0.08
-4.925000e-02,-78,-0.08
-4.924000e-02,-78,-0.08
-4.923000e-02,-84,-0.08
-4.922000e-02,-78,-0.08
-4.921000e-02,-78,-0.08
-4.920000e-02,-84,-0.08
-4.919000e-02,-84,-0.08
-4.918000e-02,-90,-0.08
-4.917000e-02,-84,-0.08
-4.916000e-02,-84,-0.08
-4.915000e-02,-90,-0.08
-4.914000e-02,-84,-0.08
-4.913000e-02,-90,-0.08
-4.912000e-02,-90,-0.08
-4.911000e-02,-84,-0.08
-4.910000e-02,-84,-0.08
-4.909000e-02,-90,-0.08
-4.908000e-02,-96,-0.08
-4.907000e-02,-90,-0.08
-4.906000e-02,-96,-0.08
-4.905000e-02,-96,-0.08
-4.904000e-02,-96,-0.08
-4.903000e-02,-96,-0.08
-4.902000e-02,-96,-0.08
-4.901000e-02,-96,-0.08
-4.900000e-02,-102,-0.08
-4.899000e-02,-108,-0.08
-4.898000e-02,-96,-0.08
-4.897000e-02,-108,-0.16
-4.896000e-02,-102,-0.16
-4.895000e-02,-102,-0.08
-4.894000e-02,-102,-0.08
-4.893000e-02,-108,-0.08
-4.892000e-02,-108,-0.08
-4.891000e-02,-108,-0.16
-4.890000e-02,-114,-0.16
-4.889000e-02,-108,-0.08
-4.888000e-02,-108,-0.16
-4.887000e-02,-108,-0.16
-4.886000e-02,-108,-0.08
-4.885000e-02,-114,-0.08
-4.884000e-02,-108,-0.16
-4.883000e-02,-114,-0.08
-4.882000e-02,-108,-0.08
-4.881000e-02,-114,-0.08
-4.880000e-02,-114,-0.08
-4.879000e-02,-120,-0.08
-4.878000e-02,-114,-0.08
-4.877000e-02,-114,-0.08
-4.876000e-02,-120,-0.08
-4.875000e-02,-120,-0.08
-4.874000e-02,-126,-0.08
-4.873000e-02,-120,-0.08
-4.872000e-02,-120,-0.08
-4.871000e-02,-120,-0.08
-4.870000e-02,-126,-0.08
-4.869000e-02,-126,-0.08
-4.868000e-02,-132,-0.16
-4.867000e-02,-126,-0.08
-4.866000e-02,-120,-0.08
-4.865000e-02,-132,-0.08
-4.864000e-02,-132,-0.08
-4.863000e-02,-138,-0.16
-4.862000e-02,-126,-0.08
-4.861000e-02,-132,-0.08
-4.860000e-02,-132,-0.08
-4.859000e-02,-132,-0.08
-4.858000e-02,-132,-0.16
-4.857000e-02,-132,-0.08
-4.856000e-02,-132,-0.08
-4.855000e-02,-138,-0.08
-4.854000e-02,-138,-0.08
-4.853000e-02,-138,-0.16
-4.852000e-02,-138,-0.08
-4.851000e-02,-144,-0.08
-4.850000e-02,-132,-0.08
-4.849000e-02,-144,-0.08
-4.848000e-02,-138,-0.16
-4.847000e-02,-144,-0.16
-4.846000e-02,-138,-0.08
-4.845000e-02,-144,-0.16
-4.844000e-02,-144,-0.16
-4.843000e-02,-150,-0.08
-4.842000e-02,-144,-0.08
-4.841000e-02,-150,-0.08
-4.840000e-02,-150,-0.08
-4.839000e-02,-150,-0.08
-4.838000e-02,-150,-0.16
-4.837000e-02,-150,-0.08
-4.836000e-02,-156,-0.16
-4.835000e-02,-156,-0.08
-4.834000e-02,-150,-0.08
-4.833000e-02,-150,-0.08
-4.832000e-02,-150,-0.08
-4.831000e-02,-150,-0.08
-4.830000e-02,-156,-0.08
-4.829000e-02,-156,-0.08
-4.828000e-02,-162,-0.16
-4.827000e-02,-162,-0.08
-4.826000e-02,-162,-0.08
-4.825000e-02,-162,-0.08
-4.824000e-02,-162,-0.08
-4.823000e-02,-162,-0.08
-4.822000e-02,-162,-0.08
-4.821000e-02,-168,-0.16
-4.820000e-02,-162,-0.08
-4.819000e-02,-168,-0.08
-4.818000e-02,-174,-0.08
-4.817000e-02,-168,-0.16
-4.816000e-02,-168,-0.08
-4.815000e-02,-168,-0.08
-4.814000e-02,-162,-0.08
-4.813000e-02,-174,-0.16
-4.812000e-02,-174,-0.08
-4.811000e-02,-174,-0.16
-4.810000e-02,-168,-0.08
-4.809000e-02,-168,-0.08
-4.808000e-02,-174,-0.08
-4.807000e-02,-174,-0.08
-4.806000e-02,-168,-0.08
-4.805000e-02,-180,-0.16
-4.804000e-02,-174,-0.08
-4.803000e-02,-174,-0.08
-4.802000e-02,-174,-0.08
-4.801000e-02,-174,-0.08
-4.800000e-02,-174,-0.08
-4.799000e-02,-174,-0.16
-4.798000e-02,-180,-0.08
-4.797000e-02,-174,-0.16
-4.796000e-02,-180,-0.08
-4.795000e-02,-180,-0.08
-4.794000e-02,-180,-0.08
-4.793000e-02,-186,-0.08
-4.792000e-02,-180,-0.16
-4.791000e-02,-186,-0.08
-4.790000e-02,-186,-0.08
-4.789000e-02,-186,-0.08
-4.788000e-02,-180,-0.08
-4.787000e-02,-192,-0.16
-4.786000e-02,-180,-0.08
-4.785000e-02,-186,-0.08
-4.784000e-02,-186,-0.08
-4.783000e-02,-192,-0.16
-4.782000e-02,-186,-0.16
-4.781000e-02,-186,-0.64
-4.780000e-02,-192,-1.52
-4.779000e-02,-192,-1.6
-4.778000e-02,-192,-1.04
-4.777000e-02,-192,-0.32
-4.776000e-02,-198,-0.16
-4.775000e-02,-192,0
-4.774000e-02,-198,-0.08
-4.773000e-02,-198,-0.08
-4.772000e-02,-198,0
