TIME,CH1,CH2,CH3
-1.280000e-02,264.062,11.7766,-11.9883
-1.279600e-02,263.984,11.7867,-11.9984
-1.279200e-02,263.828,11.7914,-12.0008
-1.278800e-02,263.484,11.775,-12.0164
-1.278400e-02,263.219,11.7734,-12.025
-1.278000e-02,263.156,11.7672,-12.0305
-1.277600e-02,262.844,11.7664,-12.0164
-1.277200e-02,262.469,11.7609,-12.0164
-1.276800e-02,262.156,11.7625,-12.0164
-1.276400e-02,261.938,11.775,-12.0211
-1.276000e-02,261.984,11.7766,-12.0305
-1.275600e-02,261.625,11.775,-12.0328
-1.275200e-02,261.375,11.7734,-12.0234
-1.274800e-02,261.062,11.7977,-12.0352
-1.274400e-02,260.969,11.793,-12.0336
-1.274000e-02,260.734,11.7812,-12.0164
-1.273600e-02,260.578,11.7797,-12.0102
-1.273200e-02,260.359,11.7797,-12.0203
-1.272800e-02,260.047,11.7828,-12.0125
-1.272400e-02,259.672,11.7812,-12.0211
-1.272000e-02,259.141,11.7875,-12.0336
-1.271600e-02,258.812,11.7875,-12.025
-1.271200e-02,258.609,11.7711,-12.0352
-1.270800e-02,258.25,11.7789,-12.0367
-1.270400e-02,258,11.775,-12.0477
-1.270000e-02,257.797,11.775,-12.025
-1.269600e-02,257.516,11.7766,-12.0227
-1.269200e-02,257.328,11.7898,-12.0375
-1.268800e-02,256.922,11.7898,-12.043
-1.268400e-02,256.703,11.7797,-12.0531
-1.268000e-02,256.219,11.7852,-12.0531
-1.267600e-02,255.906,11.7852,-12.0539
-1.267200e-02,255.578,11.7852,-12.0453
-1.266800e-02,255.406,11.793,-12.0352
-1.266400e-02,255.203,11.7836,-12.0328
-1.266000e-02,255.094,11.793,-12.0406
-1.265600e-02,254.953,11.7836,-12.0367
-1.265200e-02,254.625,11.7828,-12.0438
-1.264800e-02,254.438,11.7711,-12.0555
-1.264400e-02,254.188,11.7789,-12.043
-1.264000e-02,254.062,11.757,-12.0469
-1.263600e-02,253.75,11.7547,-12.0367
-1.263200e-02,253.578,11.757,-12.0227
-1.262800e-02,253.453,11.7563,-12.0086
-1.262400e-02,253.172,11.7711,-12.0047
-1.262000e-02,252.844,11.7672,-12.0164
-1.261600e-02,252.531,11.7688,-12.0148
-1.261200e-02,252.328,11.7672,-12.0211
-1.260800e-02,252.047,11.7695,-12.0375
-1.260400e-02,251.75,11.7695,-12.0516
-1.260000e-02,251.438,11.7648,-12.0438
-1.259600e-02,251.141,11.7688,-12.025
-1.259200e-02,250.766,11.757,-12.0063
-1.258800e-02,250.562,11.757,-11.9922
-1.258400e-02,250.297,11.7594,-11.9906
-1.258000e-02,249.922,11.7523,-11.9883
-1.257600e-02,249.609,11.7508,-11.9961
-1.257200e-02,249.344,11.7547,-11.9898
-1.256800e-02,249.141,11.7586,-11.9969
-1.256400e-02,248.75,11.7492,-11.993
-1.256000e-02,248.328,11.7484,-12.0148
-1.255600e-02,247.969,11.7406,-12.0109
-1.255200e-02,247.609,11.7406,-12.0008
-1.254800e-02,247.25,11.7469,-11.9969
-1.254400e-02,246.922,11.7523,-11.9828
-1.254000e-02,246.703,11.7469,-12.0031
-1.253600e-02,246.562,11.7547,-12.0164
-1.253200e-02,245.906,11.7484,-12.0086
-1.252800e-02,245.406,11.7469,-11.9922
-1.252400e-02,245.094,11.7461,-11.9883
-1.252000e-02,244.797,11.7391,-11.9898
-1.251600e-02,244.438,11.7422,-11.9797
-1.251200e-02,244.188,11.7383,-11.9984
-1.250800e-02,243.859,11.7383,-12.0102
-1.250400e-02,243.594,11.732,-11.9906
-1.250000e-02,243.375,11.7219,-11.9797
-1.249600e-02,242.906,11.718,-11.9797
-1.249200e-02,242.703,11.7242,-11.9922
-1.248800e-02,242.438,11.7289,-11.9805
-1.248400e-02,242.234,11.7188,-11.9922
-1.248000e-02,242,11.7391,-11.9984
-1.247600e-02,241.75,11.7445,-12.0047
-1.247200e-02,241.141,11.7289,-11.9859
-1.246800e-02,240.828,11.718,-11.9781
-1.246400e-02,240.609,11.7258,-11.9703
-1.246000e-02,240.125,11.7164,-11.9719
-1.245600e-02,239.766,11.7016,-11.9727
-1.245200e-02,239.594,11.7141,-11.9664
-1.244800e-02,239.203,11.7188,-11.9625
-1.244400e-02,238.844,11.7086,-11.9539
-1.244000e-02,238.469,11.7023,-11.9453
-1.243600e-02,238.094,11.6922,-11.9492
-1.243200e-02,237.625,11.7,-11.9617
-1.242800e-02,237.375,11.7086,-11.9656
-1.242400e-02,237.047,11.718,-11.9594
-1.242000e-02,236.75,11.6961,-11.9477
-1.241600e-02,236.344,11.6797,-11.9414
-1.241200e-02,236.031,11.6773,-11.9398
-1.240800e-02,235.547,11.6797,-11.95
-1.240400e-02,235.016,11.6781,-11.925
-1.240000e-02,234.734,11.6984,-11.9273
-1.239600e-02,234.359,11.7039,-11.9273
-1.239200e-02,234.172,11.7063,-11.9234
-1.238800e-02,233.969,11.6961,-11.9172
-1.238400e-02,233.562,11.7016,-11.925
-1.238000e-02,233.156,11.6938,-11.9117
-1.237600e-02,232.906,11.6648,-11.9156
-1.237200e-02,232.406,11.6797,-11.9133
-1.236800e-02,231.812,11.675,-11.9211
-1.236400e-02,231.328,11.6781,-11.9117
-1.236000e-02,231.109,11.682,-11.9016
-1.235600e-02,230.906,11.6695,-11.9008
-1.235200e-02,230.516,11.6656,-11.8992
-1.234800e-02,230.312,11.6594,-11.8984
-1.234400e-02,229.938,11.6594,-11.8828
-1.234000e-02,229.562,11.6797,-11.8906
-1.233600e-02,229.281,11.6883,-11.8953
-1.233200e-02,229,11.6813,-11.8828
-1.232800e-02,228.594,11.6695,-11.8992
-1.232400e-02,228.359,11.6531,-11.9008
-1.232000e-02,227.953,11.6406,-11.8867
-1.231600e-02,227.5,11.6375,-11.8883
-1.231200e-02,227.125,11.6391,-11.9031
-1.230800e-02,226.719,11.6492,-11.8953
-1.230400e-02,226.438,11.6328,-11.9047
-1.230000e-02,226.125,11.6391,-11.8953
-1.229600e-02,225.828,11.6445,-11.875
-1.229200e-02,225.578,11.6469,-11.8648
-1.228800e-02,225.312,11.6508,-11.8688
-1.228400e-02,224.891,11.6406,-11.8641
-1.228000e-02,224.609,11.6289,-11.8641
-1.227600e-02,224.328,11.6,-11.875
-1.227200e-02,223.844,11.6109,-11.8711
-1.226800e-02,223.438,11.6242,-11.8664
-1.226400e-02,223.109,11.6273,-11.8641
-1.226000e-02,222.859,11.6273,-11.8664
-1.225600e-02,222.625,11.607,-11.868
-1.225200e-02,222.422,11.5984,-11.8539
-1.224800e-02,221.859,11.5859,-11.8344
-1.224400e-02,221.453,11.5734,-11.85
-1.224000e-02,221.156,11.5781,-11.8484
-1.223600e-02,220.797,11.5859,-11.8258
-1.223200e-02,220.516,11.5844,-11.8133
-1.222800e-02,220.141,11.6039,-11.8078
-1.222400e-02,219.703,11.6047,-11.8141
-1.222000e-02,219.406,11.6063,-11.807
-1.221600e-02,219.094,11.5938,-11.8141
-1.221200e-02,218.562,11.5781,-11.8078
-1.220800e-02,218.062,11.5766,-11.8141
-1.220400e-02,217.672,11.5703,-11.8219
-1.220000e-02,217.297,11.5578,-11.8219
-1.219600e-02,217.062,11.5617,-11.8117
-1.219200e-02,216.578,11.5539,-11.8031
-1.218800e-02,216.125,11.5477,-11.818
-1.218400e-02,215.969,11.5477,-11.8141
-1.218000e-02,215.719,11.5695,-11.8258
-1.217600e-02,215.594,11.5758,-11.8344
-1.217200e-02,215.219,11.5602,-11.8117
-1.216800e-02,214.75,11.5555,-11.8094
-1.216400e-02,214.453,11.5633,-11.8016
-1.216000e-02,214.047,11.543,-11.7875
-1.215600e-02,213.656,11.5328,-11.775
-1.215200e-02,213.328,11.5312,-11.7867
-1.214800e-02,213.109,11.5352,-11.7797
-1.214400e-02,212.875,11.5273,-11.7789
-1.214000e-02,212.641,11.5211,-11.7672
-1.213600e-02,212.312,11.5195,-11.7711
